,x0,y0,size : 0,x1,y1,size : 1,x2,y2,size : 2,x3,y3,size : 3,x4,y4,size : 4,x5,y5,size : 5
99,1573.5,374.0,,1621.5,554.0,,1139.5,225.5,,1075.5,98.5,,623.5,231.0,,1265.5,653.5,
100,1572.5,373.5,,1621.5,555.5,,1138.5,226.5,,1075.5,98.5,,624.0,232.0,,1264.0,654.0,
101,1572.0,373.0,,1622.0,555.0,,1139.5,227.0,,1075.5,98.5,,623.5,232.5,,1265.0,657.5,
102,1572.5,375.5,,1621.5,554.5,,1140.5,226.0,,1075.5,97.5,,624.0,233.0,,1266.0,657.0,
103,1573.5,375.5,,1622.0,554.0,,1139.5,224.5,,1075.5,96.5,,623.5,233.0,,1267.0,657.0,
104,1573.0,374.0,,1621.5,554.5,,1138.5,224.5,,1075.5,96.5,,623.0,231.5,,1267.5,657.5,
105,1572.0,375.0,,1622.0,554.0,,1137.5,225.0,,1075.5,96.5,,622.0,231.5,,1266.5,658.0,
106,1572.5,374.5,,1621.5,553.5,,1137.5,225.0,,1074.5,95.5,,621.5,232.0,,1266.5,657.5,
107,1572.5,374.5,,1621.5,553.5,,1137.5,224.5,,1074.5,96.5,,621.5,232.5,,1265.0,657.0,
108,1573.0,374.0,,1621.5,552.5,,1137.5,225.5,,1074.5,96.5,,621.0,230.0,,1266.5,656.0,
109,1573.5,374.5,,1622.5,552.5,,1135.5,225.5,,1075.5,96.5,,620.5,230.5,,1267.5,656.0,
110,1573.0,374.0,,1623.0,552.0,,1136.5,225.5,,1074.5,97.5,,620.0,230.5,,1268.0,656.5,
111,1572.5,373.5,,1622.5,552.5,,1137.5,225.5,,1073.5,97.5,,619.5,229.5,,1268.5,656.0,
112,1573.5,373.5,,1622.5,552.5,,1137.5,225.5,,1072.5,97.5,,620.5,230.0,,1268.5,656.0,
113,1573.5,374.0,,1622.0,553.0,,1138.5,224.5,,1072.5,98.5,,620.0,230.0,,1271.0,656.0,
114,1572.5,374.0,,1620.5,550.5,,1138.5,225.0,,1071.5,98.5,,621.5,229.5,,1270.5,655.5,
115,1573.0,373.0,,1621.5,550.5,,1138.5,225.0,,1070.5,98.5,,621.0,229.0,,1270.5,655.0,
116,1572.5,372.5,,1621.5,551.0,,1139.5,225.5,,1071.5,97.5,,621.5,229.5,,1270.5,654.5,
117,1573.5,374.0,,1621.5,550.5,,1139.5,225.5,,1072.5,97.5,,621.5,229.0,,1271.0,653.5,
118,1573.0,374.0,,1621.5,550.0,,1139.5,226.5,,1072.5,98.5,,622.0,230.0,,1269.0,653.5,
119,1573.0,374.0,,1621.5,550.5,,1140.5,227.0,,1073.5,98.5,,621.5,230.0,,1271.0,651.5,
120,1574.0,374.0,,1623.0,551.0,,1140.5,226.5,,1073.5,98.5,,621.5,230.5,,1270.0,651.5,
121,1573.5,373.5,,1623.0,549.0,,1141.5,225.5,,1073.5,98.5,,622.5,230.5,,1269.5,653.0,
122,1574.5,373.5,,1623.5,549.5,,1143.5,225.5,,1073.5,98.5,,622.5,230.0,,1270.5,652.5,
123,1574.0,373.0,,1623.5,548.5,,1141.5,225.5,,1073.5,97.5,,623.5,231.0,,1269.5,653.0,
124,1574.5,373.5,,1623.5,548.5,,1140.5,225.5,,1072.5,95.5,,624.0,230.0,,1269.0,653.0,
125,1573.5,373.0,,1623.5,548.5,,1141.5,225.5,,1072.5,95.5,,623.5,230.0,,1268.5,654.0,
126,1573.5,372.5,,1623.5,548.5,,1141.5,227.0,,1072.5,95.5,,623.0,230.0,,1268.0,654.5,
127,1574.0,373.0,,1623.0,549.0,,1141.5,227.0,,1073.5,95.5,,622.5,230.5,,1267.5,654.0,
128,1574.5,373.5,,1622.5,548.5,,1141.5,227.5,,1074.5,95.5,,622.5,231.0,,1266.0,654.5,
129,1575.0,374.0,,1622.0,549.0,,1141.5,226.5,,1074.5,95.5,,622.0,231.0,,1267.0,657.0,
130,1574.5,374.5,,1622.5,549.5,,1141.5,227.0,,1074.5,94.5,,621.5,232.0,,1267.0,655.0,
131,1574.0,375.0,,1622.5,550.5,,1141.5,227.5,,1074.5,94.5,,620.5,231.0,,1267.0,656.5,
132,1573.5,374.5,,1622.5,551.5,,1140.5,227.5,,1073.5,95.5,,620.0,231.5,,1265.0,657.0,
133,1574.5,374.5,,1623.0,551.0,,1139.5,227.5,,1073.5,95.5,,619.5,232.5,,1265.0,656.5,
134,1574.5,374.5,,1623.0,552.0,,1137.5,227.5,,1073.5,96.5,,620.0,235.5,,1265.0,656.5,
135,1575.0,374.5,,1623.0,551.0,,1138.5,226.5,,1073.5,96.5,,619.5,235.5,,1264.5,657.0,
136,1574.5,374.5,,1623.5,551.5,,1139.5,229.0,,1073.5,96.5,,618.5,235.0,,1264.5,658.0,
137,1575.0,375.0,,1624.0,552.0,,1140.5,229.0,,1073.5,96.5,,618.5,236.0,,1264.0,658.0,
138,1573.5,374.5,,1623.0,551.0,,1139.5,228.5,,1073.5,96.5,,618.5,235.0,,1265.0,658.0,
139,1574.0,374.0,,1624.0,551.0,,1138.5,229.5,,1073.5,97.5,,618.0,234.0,,1263.0,657.5,
140,1574.0,374.0,,1625.5,551.5,,1138.5,232.0,,1074.5,98.5,,619.5,234.5,,1264.0,657.5,
141,1573.5,374.5,,1624.5,551.5,,1138.5,231.0,,1074.5,99.5,,619.0,234.0,,1263.0,657.0,
142,1574.0,374.0,,1624.5,552.5,,1137.5,231.0,,1074.5,98.5,,620.0,235.0,,1263.0,657.0,
143,1574.5,373.5,,1624.5,553.5,,1137.5,230.5,,1073.5,98.5,,620.0,234.0,,1262.0,655.5,
144,1573.0,373.0,,1624.5,553.5,,1138.5,229.5,,1072.5,98.5,,620.5,236.0,,1261.0,655.0,
145,1574.0,373.0,,1624.5,553.5,,1138.5,228.5,,1072.5,96.5,,620.0,236.0,,1262.0,654.5,
146,1573.0,374.0,,1624.5,553.5,,1138.5,229.5,,1072.5,96.5,,620.0,236.0,,1261.0,655.5,
147,1573.0,374.0,,1625.0,553.0,,1137.5,229.5,,1072.5,96.5,,620.5,234.5,,1261.0,653.5,
148,1573.0,373.0,,1623.5,552.5,,1138.5,230.5,,1072.5,96.5,,623.0,234.0,,1260.5,653.0,
149,1573.5,373.5,,1624.5,553.0,,1138.0,230.5,,1072.5,95.5,,621.5,234.5,,1260.0,653.0,
150,1573.5,373.5,,1625.0,553.0,,1138.5,231.0,,1072.5,96.5,,621.5,234.5,,1260.5,653.5,
151,1573.5,374.0,,1625.5,553.5,,1138.5,231.0,,1073.5,96.5,,622.0,233.5,,1261.0,654.0,
152,1573.0,374.0,,1626.0,554.0,,1137.5,231.5,,1072.5,95.5,,621.5,233.0,,1261.0,654.0,
153,1572.0,373.5,,1625.0,552.0,,1138.5,231.5,,1071.5,95.5,,622.0,234.5,,1262.5,654.0,
154,1572.5,374.5,,1625.0,554.0,,1138.5,231.5,,1071.5,96.5,,621.5,234.5,,1262.0,653.5,
155,1572.5,374.5,,1626.5,553.5,,1138.5,231.5,,1072.5,97.5,,620.5,234.5,,1262.0,655.0,
156,1572.5,374.5,,1625.5,553.5,,1139.5,232.0,,1072.5,96.5,,620.0,233.0,,1262.0,654.0,
157,1572.5,373.5,,1625.5,554.5,,1138.5,229.5,,1072.5,96.5,,620.0,233.5,,1261.0,653.0,
158,1572.5,374.0,,1626.5,553.5,,1139.5,229.5,,1071.5,97.5,,619.5,233.5,,1262.0,653.5,
159,1573.0,373.5,,1626.0,554.0,,1140.5,229.5,,1071.0,97.0,,619.5,233.5,,1261.5,656.0,
160,1572.5,373.0,,1626.0,554.0,,1140.5,230.5,,1071.0,96.0,,620.0,233.0,,1261.5,656.0,
161,1573.0,373.5,,1626.5,554.5,,1139.5,231.5,,1072.0,96.5,,620.5,233.5,,1261.5,655.5,
162,1573.0,373.5,,1626.5,554.5,,1139.5,232.0,,1072.5,96.5,,620.0,234.0,,1261.0,655.0,
163,1573.0,373.5,,1626.0,554.0,,1139.5,232.0,,1072.5,96.5,,620.0,233.0,,1261.5,654.5,
164,1572.0,373.0,,1625.5,555.5,,1139.5,232.0,,1072.5,96.5,,620.5,233.5,,1261.0,655.0,
165,1573.0,374.0,,1626.0,556.0,,1140.5,233.5,,1072.5,97.5,,619.0,233.5,,1260.0,654.5,
166,1572.5,373.5,,1626.5,556.5,,1139.5,232.0,,1072.5,97.5,,618.5,233.5,,1260.0,655.0,
167,1572.5,373.5,,1626.0,557.0,,1139.5,232.0,,1071.5,97.5,,620.0,233.0,,1262.0,655.5,
168,1572.5,374.5,,1627.0,556.0,,1139.5,230.5,,1071.5,96.5,,620.5,232.5,,1262.0,655.5,
169,1572.5,373.5,,1626.0,556.0,,1140.5,230.5,,1071.5,96.5,,620.0,232.0,,1261.5,655.5,
170,1572.5,372.5,,1626.0,555.0,,1140.5,230.0,,1072.5,96.5,,620.5,232.5,,1264.0,656.0,
171,1573.5,373.5,,1626.0,555.0,,1140.5,230.0,,1072.5,95.5,,619.5,231.5,,1264.0,657.0,
172,1573.5,373.5,,1626.0,555.0,,1139.5,230.0,,1072.5,95.5,,620.0,231.0,,1265.0,657.5,
173,1573.0,374.0,,1625.5,552.5,,1141.5,230.5,,1072.5,95.5,,621.0,231.0,,1265.0,656.5,
174,1572.0,373.0,,1625.5,553.5,,1142.5,230.5,,1072.5,95.5,,621.0,230.5,,1265.0,655.0,
175,1572.5,373.5,,1626.5,553.5,,1142.5,229.5,,1071.5,95.5,,621.5,231.0,,1265.0,656.0,
176,1571.5,373.5,,1626.5,553.5,,1142.5,231.5,,1071.0,96.0,,621.5,230.0,,1264.0,655.5,
177,1573.0,374.0,,1626.0,554.0,,1141.5,230.5,,1071.0,96.0,,621.5,230.0,,1262.5,656.0,
178,1572.5,374.5,,1626.0,554.0,,1142.5,232.0,,1071.0,95.5,,620.5,229.5,,1262.0,657.0,
179,1572.5,374.5,,1627.0,553.0,,1142.5,231.5,,1071.0,96.0,,619.5,229.0,,1262.0,659.5,
180,1572.5,373.5,,1626.5,553.5,,1140.5,230.5,,1070.0,94.0,,620.0,230.0,,1260.0,659.0,
181,1573.5,374.5,,1626.5,553.5,,1141.5,231.0,,1071.5,94.5,,620.0,229.5,,1260.0,659.5,
182,1574.0,374.0,,1626.5,553.5,,1141.5,229.0,,1071.5,94.5,,619.5,229.5,,1260.0,659.5,
183,1572.5,374.0,,1626.5,554.0,,1139.5,228.0,,1071.5,94.5,,619.5,228.5,,1260.0,660.0,
184,1572.5,373.5,,1629.0,555.0,,1139.5,228.5,,1070.5,93.5,,619.0,229.0,,1261.0,660.5,
185,1573.0,374.0,,1628.5,555.5,,1140.5,229.0,,1070.5,93.5,,618.0,230.0,,1260.0,660.0,
186,1572.0,374.0,,1628.5,555.5,,1140.5,230.0,,1071.5,92.5,,618.5,229.5,,1260.5,660.0,
187,1572.5,373.5,,1628.5,555.5,,1140.5,230.0,,1071.5,92.5,,617.5,228.5,,1259.0,660.5,
188,1572.5,374.5,,1629.5,555.5,,1140.5,229.0,,1071.5,92.5,,617.0,228.0,,1258.0,660.0,
189,1572.5,373.5,,1630.0,555.0,,1140.5,229.5,,1071.5,92.5,,617.0,228.5,,1259.0,659.5,
190,1573.5,373.5,,1630.5,555.5,,1140.5,231.5,,1072.5,92.5,,617.5,228.5,,1258.0,658.0,
191,1573.5,373.0,,1630.5,556.5,,1140.5,233.5,,1073.5,92.5,,618.0,227.0,,1259.0,659.5,
192,1573.5,373.5,,1630.5,556.0,,1139.5,234.0,,1073.5,92.5,,619.5,226.5,,1260.0,660.0,
