Frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
286,635,363,927,643,1342,696,1218,393,1822,1036,1154,758,1003,830
287,634,364,928,645,1341,697,1217,392,1822,1035,1156,757,1003,830
288,635,363,928,644,1342,696,1218,392,1823,1034,1155,756,1001,831
289,633,362,929,644,1341,696,1218,391,1823,1035,1156,757,1001,830
290,633,362,930,645,1341,695,1220,391,1824,1035,1157,757,1001,832
291,631,362,929,646,1342,695,1221,392,1824,1036,1157,757,1001,832
292,631,362,929,645,1343,695,1220,391,1824,1037,1157,758,1000,830
293,631,362,928,646,1344,695,1218,391,1823,1036,1158,758,1000,832
294,631,362,929,646,1344,696,1219,391,1823,1036,1158,759,998,831
295,632,362,930,647,1344,697,1220,393,1822,1036,1156,759,999,832
296,631,363,929,646,1344,698,1218,393,1822,1037,1157,760,999,832
297,632,364,929,647,1343,696,1218,393,1821,1037,1156,762,1001,832
298,632,365,930,648,1344,697,1217,394,1822,1037,1156,760,999,833
299,632,364,929,648,1343,697,1216,393,1822,1038,1156,760,1000,833
300,632,364,928,648,1342,697,1218,394,1821,1037,1157,759,1000,833
301,633,365,927,649,1343,697,1218,393,1820,1037,1157,760,1001,833
302,632,365,927,647,1343,698,1217,392,1820,1037,1158,759,1000,832
303,633,365,928,648,1343,698,1218,392,1819,1037,1159,760,999,830
304,633,365,928,648,1344,698,1217,393,1820,1037,1158,761,999,830
305,632,365,928,648,1345,698,1217,393,1820,1038,1159,762,998,831
306,632,367,927,648,1345,699,1216,392,1820,1038,1160,763,997,831
307,632,366,927,648,1346,699,1217,392,1819,1037,1159,763,997,830
308,632,367,927,647,1346,699,1217,392,1820,1037,1160,763,997,831
309,633,366,928,646,1346,700,1219,393,1820,1038,1162,764,996,830
310,633,368,927,647,1346,699,1218,392,1819,1036,1161,764,995,831
311,633,366,928,647,1346,700,1218,392,1819,1036,1161,765,996,831
312,632,367,928,648,1349,700,1219,392,1819,1036,1162,765,994,831
313,634,368,928,647,1348,701,1219,391,1819,1037,1161,765,994,830
314,634,367,928,646,1348,700,1218,392,1820,1037,1162,766,994,832
315,633,368,928,646,1349,700,1218,390,1820,1037,1163,767,993,832
316,634,367,929,646,1348,700,1218,391,1819,1036,1162,767,993,833
317,633,368,930,645,1348,701,1219,390,1819,1036,1160,768,992,833
318,634,367,931,644,1348,700,1219,390,1819,1036,1161,768,992,833
319,634,369,932,643,1350,699,1221,389,1819,1037,1160,768,991,833
320,633,368,932,642,1348,700,1220,390,1820,1036,1160,770,991,834
321,634,369,933,644,1349,700,1220,389,1819,1036,1161,769,991,833
322,633,369,933,642,1347,699,1219,388,1820,1037,1161,770,991,834
323,633,370,933,641,1347,700,1219,387,1820,1038,1159,771,991,834
324,633,369,933,640,1347,701,1219,387,1820,1037,1159,772,991,835
325,633,369,933,640,1347,702,1220,386,1820,1037,1161,772,989,834
326,633,369,932,641,1346,702,1219,388,1819,1038,1161,773,989,835
327,634,369,933,641,1347,702,1218,388,1820,1038,1161,772,988,836
328,635,369,933,642,1348,702,1218,388,1819,1039,1162,772,988,837
329,635,369,932,642,1347,701,1217,389,1820,1038,1162,772,989,836
330,636,370,931,642,1347,700,1217,390,1821,1039,1161,772,989,835
